,file_label,file_name,file_version,vars
0,"Diagnosis and Symptoms Checklist [ADNI1,GO,2]",ADSXLIST.csv,,"['Phase', 'ID', 'RID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'EXAMDATE', 'AXNAUSEA', 'AXVOMIT', 'AXDIARRH', 'AXCONSTP', 'AXABDOMN', 'AXSWEATN', 'AXDIZZY', 'AXENERGY', 'AXDROWSY', 'AXVISION', 'AXHDACHE', 'AXDRYMTH', 'AXBREATH', 'AXCOUGH', 'AXPALPIT', 'AXCHEST', 'AXURNDIS', 'AXURNFRQ', 'AXANKLE', 'AXMUSCLE', 'AXRASH', 'AXINSOMN', 'AXDPMOOD', 'AXCRYING', 'AXELMOOD', 'AXWANDER', 'AXFALL', 'AXOTHER', 'AXSPECIF', 'update_stamp']"
1,"Diagnostic Summary - Baseline Changes [ADNI1,GO,2,3]",DXSUM_PDXCONV_ADNIALL.csv,,"['Phase', 'ID', 'RID', 'PTID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'EXAMDATE', 'DXCHANGE', 'DXCURREN', 'DXCONV', 'DXCONTYP', 'DXREV', 'DXNORM', 'DXNODEP', 'DXMCI', 'DXMDES', 'DXMPTR1', 'DXMPTR2', 'DXMPTR3', 'DXMPTR4', 'DXMPTR5', 'DXMPTR6', 'DXMDUE', 'DXMOTHET', 'DXMOTHSP', 'DXDSEV', 'DXDDUE', 'DXAD', 'DXADES', 'DXAPP', 'DXAPROB', 'DXAMETASP', 'DXAOTHRSP', 'DXAPOSS', 'DXAATYSP', 'DXAMETSP', 'DXAOTHSP', 'DXPARK', 'DXPARKSP', 'DXPDES', 'DXPCOG', 'DXPATYP', 'DXPOTHSP', 'DXDEP', 'DXDEPSP', 'DXOTHDEM', 'DXODES', 'DXOOTHSP', 'DXCONFID', 'DIAGNOSIS', 'update_stamp']"
2,"Diagnostic Summary [ADNI1,GO,2,3]",DXSUM_PDXCONV_ADNIALL.csv,,"['Phase', 'ID', 'RID', 'PTID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'EXAMDATE', 'DXCHANGE', 'DXCURREN', 'DXCONV', 'DXCONTYP', 'DXREV', 'DXNORM', 'DXNODEP', 'DXMCI', 'DXMDES', 'DXMPTR1', 'DXMPTR2', 'DXMPTR3', 'DXMPTR4', 'DXMPTR5', 'DXMPTR6', 'DXMDUE', 'DXMOTHET', 'DXMOTHSP', 'DXDSEV', 'DXDDUE', 'DXAD', 'DXADES', 'DXAPP', 'DXAPROB', 'DXAMETASP', 'DXAOTHRSP', 'DXAPOSS', 'DXAATYSP', 'DXAMETSP', 'DXAOTHSP', 'DXPARK', 'DXPARKSP', 'DXPDES', 'DXPCOG', 'DXPATYP', 'DXPOTHSP', 'DXDEP', 'DXDEPSP', 'DXOTHDEM', 'DXODES', 'DXOOTHSP', 'DXCONFID', 'DIAGNOSIS', 'update_stamp']"
3,ADAS Sub-Scores and Total Scores [ADNI1],ADASSCORES.csv,,"['ID', 'RID', 'SITEID', 'VISCODE', 'USERDATE', 'USERDATE2', 'EXAMDATE', 'Q1', 'Q2', 'Q3', 'Q4', 'Q5', 'Q6', 'Q7', 'Q8', 'Q9', 'Q10', 'Q11', 'Q12', 'Q14', 'TOTAL11', 'TOTALMOD', 'update_stamp']"
4,"ADSP Phenotype Harmonization Consortium (PHC) - Composite Cognitive Scores Dictionary [ADNI1,GO,2,3]",ADSP_PHC_COGN_DICT_10_05_22.csv,2022-10-05,"['ID', 'FLDNAME', 'TBLNAME', 'CRFNAME', 'QUESTION', 'TEXT', 'STATUS', 'DEPRULE', 'TYPE', 'LENGTH', 'DECIML', 'RANGEVAL', 'RANGESQL', 'RANGEPRL', 'UNITS', 'CODE', 'NOTES', 'OBJID', 'COLID', 'RANGEJSCPT', 'NAVJSCPT', 'FTYPE', 'TAB', 'DE', 'MC', 'VISIBLE', 'LOGVISIBLE', 'MTBLNAME', 'SUBTBLNAME', 'POPJSCPT', 'GRID', 'DEF', 'update_stamp']"
5,ADSP Phenotype Harmonization Consortium (PHC) - Composite Cognitive Scores Methods (PDF),,2022-10-05,Methods file.
6,"ADSP Phenotype Harmonization Consortium (PHC) - Composite Cognitive Scores [ADNI1,GO,2,3]",ADSP_PHC_COGN_10_05_22.csv,2022-10-05,"['RID', 'SUBJID', 'PHASE', 'VISCODE', 'VISCODE2', 'EXAMDATE', 'PHC_VISIT', 'PHC_Sex', 'PHC_Education', 'PHC_Ethnicity', 'PHC_Race', 'PHC_AGE', 'PHC_Diagnosis', 'PHC_MEM', 'PHC_EXF', 'PHC_LAN', 'PHC_VSP', 'update_stamp']"
7,Alzheimer's Disease Assessment Scale (ADAS) [ADNI1],ADAS_ADNI1.csv,,"['ID', 'RID', 'SITEID', 'VISCODE', 'USERDATE', 'USERDATE2', 'EXAMDATE', 'COT1LIST', 'COT2LIST', 'COT3LIST', 'COT1SCOR', 'COT2SCOR', 'COT3SCOR', 'COP1COMP', 'COCOMND', 'COP2COMP', 'COCONSTR', 'COP3COMP', 'COT4LIST', 'COT4TOTL', 'COP4COMP', 'CONAME', 'COP5COMP', 'COIDEA', 'COP6COMP', 'COORIEN', 'COP7COMP', 'CO8NURSE', 'CO8MAGAZ', 'CO8WIZRD', 'CO8WIZRR', 'CO8VAN', 'CO8VANR', 'CO8LEPRD', 'CO8LEPRR', 'CO8SALE', 'CO8SALER', 'CO8SEA', 'CO8SEAR', 'CO8TRAIN', 'CO8TRAIR', 'CO8COIN', 'CO8COINR', 'CO8SHIP', 'CO8SHIPR', 'CO8INST', 'CO8INSTR', 'CO8MAP', 'CO8MAPR', 'CO8AXE', 'CO8AXER', 'CO8BOARD', 'CO8BOARR', 'CO8CARRT', 'CO8CARRR', 'CO8MILK', 'CO8MILKR', 'CO8VOL', 'CO8VOLR', 'CO8FORST', 'CO8FORSR', 'CO8ANCHR', 'CO8ANCRR', 'CO8GEM', 'CO8GEMR', 'CO8CAT', 'CO8CATR', 'CO8FUND', 'CO8FUNDR', 'CO8EDGE', 'CO8EDGER', 'CO8CAKE', 'CO8CAKER', 'COP8COMP', 'COINSTRC', 'COCOMPRE', 'COWRDFND', 'COLANG', 'CONMCXLA', 'CONMCXLB', 'CONMCXLC', 'COP14CMP', 'update_stamp']"
8,"Alzheimer's Disease Assessment Scale (ADAS) [ADNIGO,2,3]",ADAS_ADNIGO23.csv,,"['Phase', 'ID', 'RID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'WORDLIST', 'Q1UNABLE', 'Q1TR1', 'Q1TR2', 'Q1TR3', 'Q1TRIT', 'Q1TR2T', 'Q1TRT', 'Q1SCORE', 'TIMEEND', 'Q2UNABLE', 'Q2TASK', 'Q2SCORE', 'Q3UNABLE', 'Q3TASK1', 'Q3TASK2', 'Q3TASK3', 'Q3TASK4', 'Q3SCORE', 'Q4UNABLE', 'TIMEBEGAN', 'Q4TASK', 'Q4SCORE', 'Q5UNABLE', 'Q5TASK', 'Q5SCORE', 'Q5NAME1', 'Q5NAME2', 'Q5NAME3', 'Q5NAME4', 'Q5NAME5', 'Q5NAME6', 'Q5NAME7', 'Q5NAME8', 'Q5NAME9', 'Q5NAME10', 'Q5NAME11', 'Q5NAME12', 'Q5FINGER', 'Q5SCORE_CUE', 'Q6UNABLE', 'Q6TASK', 'Q6SCORE', 'Q7UNABLE', 'Q7TASK', 'Q7SCORE', 'Q8UNABLE', 'Q8WORD1', 'Q8WORD1R', 'Q8WORD2', 'Q8WORD2R', 'Q8WORD3', 'Q8WORD3R', 'Q8WORD4', 'Q8WORD4R', 'Q8WORD5', 'Q8WORD5R', 'Q8WORD6', 'Q8WORD6R', 'Q8WORD7', 'Q8WORD7R', 'Q8WORD8', 'Q8WORD8R', 'Q8WORD9', 'Q8WORD9R', 'Q8WORD10', 'Q8WORD10R', 'Q8WORD11', 'Q8WORD11R', 'Q8WORD12', 'Q8WORD12R', 'Q8WORD13', 'Q8WORD13R', 'Q8WORD14', 'Q8WORD14R', 'Q8WORD15', 'Q8WORD15R', 'Q8WORD16', 'Q8WORD16R', 'Q8WORD17', 'Q8WORD17R', 'Q8WORD18', 'Q8WORD18R', 'Q8WORD19', 'Q8WORD19R', 'Q8WORD20', 'Q8WORD20R', 'Q8WORD21', 'Q8WORD21R', 'Q8WORD22', 'Q8WORD22R', 'Q8WORD23', 'Q8WORD23R', 'Q8WORD24', 'Q8WORD24R', 'Q8SCORE', 'Q9TASK', 'Q9SCORE', 'Q10TASK', 'Q10SCORE', 'Q11TASK', 'Q11SCORE', 'Q12TASK', 'Q12SCORE', 'COMM', 'TOTSCORE', 'Q13UNABLE', 'Q13TASKA', 'Q13TASKB', 'Q13TASKC', 'Q13SCORE', 'TOTAL13', 'DATE', 'SOURCE', 'update_stamp']"
9,"Clinical Dementia Rating Scale (CDR) [ADNI1,GO,2,3]",CDR.csv,,"['Phase', 'ID', 'RID', 'SITEID', 'VISCODE', 'VISCODE2', 'USERDATE', 'USERDATE2', 'EXAMDATE', 'CDSOURCE', 'CDVERSION', 'CDMEMORY', 'CDORIENT', 'CDJUDGE', 'CDCOMMUN', 'CDHOME', 'CDCARE', 'CDGLOBAL', 'CDRSB', 'CDSOB', 'CDDATE', 'update_stamp']"
