,Source,Type,File,Vatiables,Inter_name,Description
1,ADNI,APOE,APOERES,Phase,Phase,NA
2,ADNI,APOE,APOERES,ID,NA,NA
3,ADNI,APOE,APOERES,RID,RID,NA
4,ADNI,APOE,APOERES,SITEID,NA,NA
5,ADNI,APOE,APOERES,VISCODE,VISCODE,NA
6,ADNI,APOE,APOERES,USERDATE,NA,NA
7,ADNI,APOE,APOERES,USERDATE2,NA,NA
8,ADNI,APOE,APOERES,APTESTDT,NA,NA
9,ADNI,APOE,APOERES,APGEN1,APGEN1,NA
10,ADNI,APOE,APOERES,APGEN2,APGEN2,NA
11,ADNI,APOE,APOERES,APVOLUME,NA,NA
12,ADNI,APOE,APOERES,APRECEIVE,NA,NA
13,ADNI,APOE,APOERES,APAMBTEMP,NA,NA
14,ADNI,APOE,APOERES,APRESAMP,NA,NA
15,ADNI,APOE,APOERES,APUSABLE,NA,NA
16,ADNI,APOE,APOERES,update_stamp,NA,NA
17,ADNI,COG,ADAS_ADNI1,ID,NA,NA
18,ADNI,COG,ADAS_ADNI1,RID,RID,NA
19,ADNI,COG,ADAS_ADNI1,SITEID,NA,NA
20,ADNI,COG,ADAS_ADNI1,VISCODE,VISCODE,NA
21,ADNI,COG,ADAS_ADNI1,USERDATE,NA,NA
22,ADNI,COG,ADAS_ADNI1,USERDATE2,NA,NA
23,ADNI,COG,ADAS_ADNI1,EXAMDATE,EXAMDATE,NA
24,ADNI,COG,ADAS_ADNI1,COT1LIST,COT1LIST,NA
25,ADNI,COG,ADAS_ADNI1,COT2LIST,COT2LIST,NA
26,ADNI,COG,ADAS_ADNI1,COT3LIST,COT3LIST,NA
27,ADNI,COG,ADAS_ADNI1,COT1SCOR,COT1SCOR,NA
28,ADNI,COG,ADAS_ADNI1,COT2SCOR,COT2SCOR,NA
29,ADNI,COG,ADAS_ADNI1,COT3SCOR,COT3SCOR,NA
30,ADNI,COG,ADAS_ADNI1,COP1COMP,COP1COMP,NA
31,ADNI,COG,ADAS_ADNI1,COCOMND,COCOMND,NA
32,ADNI,COG,ADAS_ADNI1,COP2COMP,COP2COMP,NA
33,ADNI,COG,ADAS_ADNI1,COCONSTR,COCONSTR,NA
34,ADNI,COG,ADAS_ADNI1,COP3COMP,COP3COMP,NA
35,ADNI,COG,ADAS_ADNI1,COT4LIST,COT4LIST,NA
36,ADNI,COG,ADAS_ADNI1,COT4TOTL,COT4TOTL,NA
37,ADNI,COG,ADAS_ADNI1,COP4COMP,COP4COMP,NA
38,ADNI,COG,ADAS_ADNI1,CONAME,CONAME,NA
39,ADNI,COG,ADAS_ADNI1,COP5COMP,COP5COMP,NA
40,ADNI,COG,ADAS_ADNI1,COIDEA,COIDEA,NA
41,ADNI,COG,ADAS_ADNI1,COP6COMP,COP6COMP,NA
42,ADNI,COG,ADAS_ADNI1,COORIEN,COORIEN,NA
43,ADNI,COG,ADAS_ADNI1,COP7COMP,COP7COMP,NA
44,ADNI,COG,ADAS_ADNI1,CO8NURSE,CO8NURSE,NA
45,ADNI,COG,ADAS_ADNI1,CO8MAGAZ,CO8MAGAZ,NA
46,ADNI,COG,ADAS_ADNI1,CO8WIZRD,CO8WIZRD,NA
47,ADNI,COG,ADAS_ADNI1,CO8WIZRR,CO8WIZRR,NA
48,ADNI,COG,ADAS_ADNI1,CO8VAN,CO8VAN,NA
49,ADNI,COG,ADAS_ADNI1,CO8VANR,CO8VANR,NA
50,ADNI,COG,ADAS_ADNI1,CO8LEPRD,CO8LEPRD,NA
51,ADNI,COG,ADAS_ADNI1,CO8LEPRR,CO8LEPRR,NA
52,ADNI,COG,ADAS_ADNI1,CO8SALE,CO8SALE,NA
53,ADNI,COG,ADAS_ADNI1,CO8SALER,CO8SALER,NA
54,ADNI,COG,ADAS_ADNI1,CO8SEA,CO8SEA,NA
55,ADNI,COG,ADAS_ADNI1,CO8SEAR,CO8SEAR,NA
56,ADNI,COG,ADAS_ADNI1,CO8TRAIN,CO8TRAIN,NA
57,ADNI,COG,ADAS_ADNI1,CO8TRAIR,CO8TRAIR,NA
58,ADNI,COG,ADAS_ADNI1,CO8COIN,CO8COIN,NA
59,ADNI,COG,ADAS_ADNI1,CO8COINR,CO8COINR,NA
60,ADNI,COG,ADAS_ADNI1,CO8SHIP,CO8SHIP,NA
61,ADNI,COG,ADAS_ADNI1,CO8SHIPR,CO8SHIPR,NA
62,ADNI,COG,ADAS_ADNI1,CO8INST,CO8INST,NA
63,ADNI,COG,ADAS_ADNI1,CO8INSTR,CO8INSTR,NA
64,ADNI,COG,ADAS_ADNI1,CO8MAP,CO8MAP,NA
65,ADNI,COG,ADAS_ADNI1,CO8MAPR,CO8MAPR,NA
66,ADNI,COG,ADAS_ADNI1,CO8AXE,CO8AXE,NA
67,ADNI,COG,ADAS_ADNI1,CO8AXER,CO8AXER,NA
68,ADNI,COG,ADAS_ADNI1,CO8BOARD,CO8BOARD,NA
69,ADNI,COG,ADAS_ADNI1,CO8BOARR,CO8BOARR,NA
70,ADNI,COG,ADAS_ADNI1,CO8CARRT,CO8CARRT,NA
71,ADNI,COG,ADAS_ADNI1,CO8CARRR,CO8CARRR,NA
72,ADNI,COG,ADAS_ADNI1,CO8MILK,CO8MILK,NA
73,ADNI,COG,ADAS_ADNI1,CO8MILKR,CO8MILKR,NA
74,ADNI,COG,ADAS_ADNI1,CO8VOL,CO8VOL,NA
75,ADNI,COG,ADAS_ADNI1,CO8VOLR,CO8VOLR,NA
76,ADNI,COG,ADAS_ADNI1,CO8FORST,CO8FORST,NA
77,ADNI,COG,ADAS_ADNI1,CO8FORSR,CO8FORSR,NA
78,ADNI,COG,ADAS_ADNI1,CO8ANCHR,CO8ANCHR,NA
79,ADNI,COG,ADAS_ADNI1,CO8ANCRR,CO8ANCRR,NA
80,ADNI,COG,ADAS_ADNI1,CO8GEM,CO8GEM,NA
81,ADNI,COG,ADAS_ADNI1,CO8GEMR,CO8GEMR,NA
82,ADNI,COG,ADAS_ADNI1,CO8CAT,CO8CAT,NA
83,ADNI,COG,ADAS_ADNI1,CO8CATR,CO8CATR,NA
84,ADNI,COG,ADAS_ADNI1,CO8FUND,CO8FUND,NA
85,ADNI,COG,ADAS_ADNI1,CO8FUNDR,CO8FUNDR,NA
86,ADNI,COG,ADAS_ADNI1,CO8EDGE,CO8EDGE,NA
87,ADNI,COG,ADAS_ADNI1,CO8EDGER,CO8EDGER,NA
88,ADNI,COG,ADAS_ADNI1,CO8CAKE,CO8CAKE,NA
89,ADNI,COG,ADAS_ADNI1,CO8CAKER,CO8CAKER,NA
90,ADNI,COG,ADAS_ADNI1,COP8COMP,COP8COMP,NA
91,ADNI,COG,ADAS_ADNI1,COINSTRC,COINSTRC,NA
92,ADNI,COG,ADAS_ADNI1,COCOMPRE,COCOMPRE,NA
93,ADNI,COG,ADAS_ADNI1,COWRDFND,COWRDFND,NA
94,ADNI,COG,ADAS_ADNI1,COLANG,COLANG,NA
95,ADNI,COG,ADAS_ADNI1,CONMCXLA,CONMCXLA,NA
96,ADNI,COG,ADAS_ADNI1,CONMCXLB,CONMCXLB,NA
97,ADNI,COG,ADAS_ADNI1,CONMCXLC,CONMCXLC,NA
98,ADNI,COG,ADAS_ADNI1,COP14CMP,COP14CMP,NA
99,ADNI,COG,ADAS_ADNI1,update_stamp,NA,NA
100,ADNI,COG,ADASSCORES,ID,NA,NA
101,ADNI,COG,ADASSCORES,RID,RID,NA
102,ADNI,COG,ADASSCORES,SITEID,NA,NA
103,ADNI,COG,ADASSCORES,VISCODE,VISCODE,NA
104,ADNI,COG,ADASSCORES,USERDATE,NA,NA
105,ADNI,COG,ADASSCORES,USERDATE2,NA,NA
106,ADNI,COG,ADASSCORES,EXAMDATE,EXAMDATE,NA
107,ADNI,COG,ADASSCORES,Q1,Q1,NA
108,ADNI,COG,ADASSCORES,Q2,Q2,NA
109,ADNI,COG,ADASSCORES,Q3,Q3,NA
110,ADNI,COG,ADASSCORES,Q4,Q4,NA
111,ADNI,COG,ADASSCORES,Q5,Q5,NA
112,ADNI,COG,ADASSCORES,Q6,Q6,NA
113,ADNI,COG,ADASSCORES,Q7,Q7,NA
114,ADNI,COG,ADASSCORES,Q8,Q8,NA
115,ADNI,COG,ADASSCORES,Q9,Q9,NA
116,ADNI,COG,ADASSCORES,Q10,Q10,NA
117,ADNI,COG,ADASSCORES,Q11,Q11,NA
118,ADNI,COG,ADASSCORES,Q12,Q12,NA
119,ADNI,COG,ADASSCORES,Q14,Q14,NA
120,ADNI,COG,ADASSCORES,TOTAL11,TOTAL11,NA
121,ADNI,COG,ADASSCORES,TOTALMOD,TOTALMOD,NA
122,ADNI,COG,ADASSCORES,update_stamp,NA,NA
123,ADNI,COG,ADAS_ADNIGO23,Phase,NA,NA
124,ADNI,COG,ADAS_ADNIGO23,ID,NA,NA
125,ADNI,COG,ADAS_ADNIGO23,RID,RID,NA
126,ADNI,COG,ADAS_ADNIGO23,SITEID,NA,NA
127,ADNI,COG,ADAS_ADNIGO23,VISCODE,NA,NA
128,ADNI,COG,ADAS_ADNIGO23,VISCODE2,VISCODE,NA
129,ADNI,COG,ADAS_ADNIGO23,USERDATE,NA,NA
130,ADNI,COG,ADAS_ADNIGO23,USERDATE2,NA,NA
131,ADNI,COG,ADAS_ADNIGO23,WORDLIST,NA,NA
132,ADNI,COG,ADAS_ADNIGO23,Q1UNABLE,Q1UNABLE,NA
133,ADNI,COG,ADAS_ADNIGO23,Q1TR1,Q1TR1,NA
134,ADNI,COG,ADAS_ADNIGO23,Q1TR2,Q1TR2,NA
135,ADNI,COG,ADAS_ADNIGO23,Q1TR3,Q1TR3,NA
136,ADNI,COG,ADAS_ADNIGO23,Q1TRIT,Q1TRIT,NA
137,ADNI,COG,ADAS_ADNIGO23,Q1TR2T,Q1TR2T,NA
138,ADNI,COG,ADAS_ADNIGO23,Q1TRT,Q1TRT,NA
139,ADNI,COG,ADAS_ADNIGO23,Q1SCORE,Q1SCORE,NA
140,ADNI,COG,ADAS_ADNIGO23,TIMEEND,TIMEEND,NA
141,ADNI,COG,ADAS_ADNIGO23,Q2UNABLE,Q2UNABLE,NA
142,ADNI,COG,ADAS_ADNIGO23,Q2TASK,Q2TASK,NA
143,ADNI,COG,ADAS_ADNIGO23,Q2SCORE,Q2SCORE,NA
144,ADNI,COG,ADAS_ADNIGO23,Q3UNABLE,Q3UNABLE,NA
145,ADNI,COG,ADAS_ADNIGO23,Q3TASK1,Q3TASK1,NA
146,ADNI,COG,ADAS_ADNIGO23,Q3TASK2,Q3TASK2,NA
147,ADNI,COG,ADAS_ADNIGO23,Q3TASK3,Q3TASK3,NA
148,ADNI,COG,ADAS_ADNIGO23,Q3TASK4,Q3TASK4,NA
149,ADNI,COG,ADAS_ADNIGO23,Q3SCORE,Q3SCORE,NA
150,ADNI,COG,ADAS_ADNIGO23,Q4UNABLE,Q4UNABLE,NA
151,ADNI,COG,ADAS_ADNIGO23,TIMEBEGAN,TIMEBEGAN,NA
152,ADNI,COG,ADAS_ADNIGO23,Q4TASK,Q4TASK,NA
153,ADNI,COG,ADAS_ADNIGO23,Q4SCORE,Q4SCORE,NA
154,ADNI,COG,ADAS_ADNIGO23,Q5UNABLE,Q5UNABLE,NA
155,ADNI,COG,ADAS_ADNIGO23,Q5TASK,Q5TASK,NA
156,ADNI,COG,ADAS_ADNIGO23,Q5SCORE,Q5SCORE,NA
157,ADNI,COG,ADAS_ADNIGO23,Q5NAME1,Q5NAME1,NA
158,ADNI,COG,ADAS_ADNIGO23,Q5NAME2,Q5NAME2,NA
159,ADNI,COG,ADAS_ADNIGO23,Q5NAME3,Q5NAME3,NA
160,ADNI,COG,ADAS_ADNIGO23,Q5NAME4,Q5NAME4,NA
161,ADNI,COG,ADAS_ADNIGO23,Q5NAME5,Q5NAME5,NA
162,ADNI,COG,ADAS_ADNIGO23,Q5NAME6,Q5NAME6,NA
163,ADNI,COG,ADAS_ADNIGO23,Q5NAME7,Q5NAME7,NA
164,ADNI,COG,ADAS_ADNIGO23,Q5NAME8,Q5NAME8,NA
165,ADNI,COG,ADAS_ADNIGO23,Q5NAME9,Q5NAME9,NA
166,ADNI,COG,ADAS_ADNIGO23,Q5NAME10,Q5NAME10,NA
167,ADNI,COG,ADAS_ADNIGO23,Q5NAME11,Q5NAME11,NA
168,ADNI,COG,ADAS_ADNIGO23,Q5NAME12,Q5NAME12,NA
169,ADNI,COG,ADAS_ADNIGO23,Q5FINGER,Q5FINGER,NA
170,ADNI,COG,ADAS_ADNIGO23,Q5SCORE_CUE,Q5SCORE_CUE,NA
171,ADNI,COG,ADAS_ADNIGO23,Q6UNABLE,Q6UNABLE,NA
172,ADNI,COG,ADAS_ADNIGO23,Q6TASK,Q6TASK,NA
173,ADNI,COG,ADAS_ADNIGO23,Q6SCORE,Q6SCORE,NA
174,ADNI,COG,ADAS_ADNIGO23,Q7UNABLE,Q7UNABLE,NA
175,ADNI,COG,ADAS_ADNIGO23,Q7TASK,Q7TASK,NA
176,ADNI,COG,ADAS_ADNIGO23,Q7SCORE,Q7SCORE,NA
177,ADNI,COG,ADAS_ADNIGO23,Q8UNABLE,Q8UNABLE,NA
178,ADNI,COG,ADAS_ADNIGO23,Q8WORD1,Q8WORD1,NA
179,ADNI,COG,ADAS_ADNIGO23,Q8WORD1R,Q8WORD1R,NA
180,ADNI,COG,ADAS_ADNIGO23,Q8WORD2,Q8WORD2,NA
181,ADNI,COG,ADAS_ADNIGO23,Q8WORD2R,Q8WORD2R,NA
182,ADNI,COG,ADAS_ADNIGO23,Q8WORD3,Q8WORD3,NA
183,ADNI,COG,ADAS_ADNIGO23,Q8WORD3R,Q8WORD3R,NA
184,ADNI,COG,ADAS_ADNIGO23,Q8WORD4,Q8WORD4,NA
185,ADNI,COG,ADAS_ADNIGO23,Q8WORD4R,Q8WORD4R,NA
186,ADNI,COG,ADAS_ADNIGO23,Q8WORD5,Q8WORD5,NA
187,ADNI,COG,ADAS_ADNIGO23,Q8WORD5R,Q8WORD5R,NA
188,ADNI,COG,ADAS_ADNIGO23,Q8WORD6,Q8WORD6,NA
189,ADNI,COG,ADAS_ADNIGO23,Q8WORD6R,Q8WORD6R,NA
190,ADNI,COG,ADAS_ADNIGO23,Q8WORD7,Q8WORD7,NA
191,ADNI,COG,ADAS_ADNIGO23,Q8WORD7R,Q8WORD7R,NA
192,ADNI,COG,ADAS_ADNIGO23,Q8WORD8,Q8WORD8,NA
193,ADNI,COG,ADAS_ADNIGO23,Q8WORD8R,Q8WORD8R,NA
194,ADNI,COG,ADAS_ADNIGO23,Q8WORD9,Q8WORD9,NA
195,ADNI,COG,ADAS_ADNIGO23,Q8WORD9R,Q8WORD9R,NA
196,ADNI,COG,ADAS_ADNIGO23,Q8WORD10,Q8WORD10,NA
197,ADNI,COG,ADAS_ADNIGO23,Q8WORD10R,Q8WORD10R,NA
198,ADNI,COG,ADAS_ADNIGO23,Q8WORD11,Q8WORD11,NA
199,ADNI,COG,ADAS_ADNIGO23,Q8WORD11R,Q8WORD11R,NA
200,ADNI,COG,ADAS_ADNIGO23,Q8WORD12,Q8WORD12,NA
201,ADNI,COG,ADAS_ADNIGO23,Q8WORD12R,Q8WORD12R,NA
202,ADNI,COG,ADAS_ADNIGO23,Q8WORD13,Q8WORD13,NA
